NodeID,Count
"handler_72_1533527126676",1
"node_90_1533528557211",5
"node_2_1531096345169",2
"node_9_1533779570465",2
"node_15_1533535391286",2
"node_1_1531312086443",2
"node_85_1533528557211",9
"node_3_1533617121259",2
"node_10_1533618030058",5
"node_1_1533617009819",6
"node_5_1533614905926",2
"node_2_1533617088851",6
"node_100_1533528557211",1
"node_16_1533792928321",4
"node_2_1533271518896",7
"node_53_1533527126676",5
"node_24_1533775583485",2
"node_4_1533791754418",2
"node_4_1533530354606",3
"node_2_1533612934207",3
"handler_17_1531295045755",2
"node_18_1533521102451",7
"node_35_1533523419539",5
"node_12_1533534690548",1
"node_4_1531187371151",4
"node_3_1533791745609",2
"node_42_1533524045648",2
"node_8_1533519444093",2
"node_22_1533540340653",5
"node_1_1530074162055",5
"node_15_1531310203486",1
"node_8_1533602787882",2
"node_8_1533615050886",1
"node_1_1531095437850",2
"node_62_1533527126676",3
"node_1_1533773624767",3
"node_6_1533779530132",2
"node_18_1533781288187",1
"node_63_1533527126676",5
"handler_98_1533528557211",2
"node_7_1533531966058",5
"node_1_1533625994377",2
"node_21_1530857440289",2
"handler_8_1530074480260",2
"node_96_1533528557211",3
"node_7_1533792328359",2
"node_33_1533523105453",2
"node_15_1531697406466",4
"node_19_1531114745484",3
"node_65_1533527126676",2
"node_17_1533521039273",2
"node_22_1530857623146",4
"node_7_1533281208883",14
"node_7_1530074340633",2
"node_11_1531639272698",5
"node_13_1533621390472",2
"node_19_1530854781002",2
"node_5_1533619859233",6
"node_49_1533527126676",2
"node_13_1533780933960",5
"node_15_1533622251427",4
"node_14_1533792741560",3
"node_3_1533792049903",2
"handler_23_1531182946120",1
"node_66_1533527126676",1
"slot_16_1531295045755",4
"node_5_1533792124436",3
"node_17_1533622336098",1
"node_13_1531111629306",13
"node_14_1531310156490",2
"node_3_1533779467683",3
"node_1_1533779363661",8
"node_11_1533792656767",5
"node_91_1533528557211",2
"node_92_1533528557211",2
"node_7_1533601523385",2
"node_59_1533527126676",2
"node_11_1533603354028",2
"node_60_1533527126676",2
"node_41_1533524045648",5
"node_1_1531290715370",1
"node_3_1530838399294",10
"node_14_1533773684408",1
"node_2_1533791643659",1
"handler_3_1531187331247",1
"node_16_1533520905018",2
"handler_5_1530074318496",2
"node_21_1533774476763",2
"node_5_1533779502858",2
"node_3_1533600635418",1
"node_6_1533619881924",2
"node_1_1531195335581",2
"node_2_1533777850333",2
"node_8_1533779558984",2
"slot_1_1531187331247",4
"node_23_1533522140118",2
"node_17_1533781284640",2
"node_14_1533534945274",2
"node_4_1533606722016",4
"node_4_1531308974837",1
"node_14_1533518118033",13
"node_4_1533600889527",3
"node_5_1531187551202",1
"node_46_1533524162785",1
"node_3_1531308937890",2
"node_12_1533792669446",2
"node_36_1533523942821",2
"node_14_1533603887678",1
"node_2_1533619705408",4
"node_86_1533528557211",2
"node_19_1533786275086",2
"node_4_1533617493319",1
"node_5_1533601484604",8
"node_7_1533779536888",1
"node_11_1533621083410",2
"handler_2_1533530227072",2
"node_3_1533619762319",2
"slot_1_1533530227072",3
"slot_4_1530074318496",6
"node_20_1533786929568",2
